emisja;miesiac;data_wyjscia;sposob;stopa_okresu;stopa_prognozowana;kupony_brutto;odsetki_w_wykupie;oplata;wyplata_brutto;podatek;zysk_netto;zysk_procent;irr_netto
COI0830;1;2026-09-03;wykup przedterminowy;4,75%;nie;0,00;0,40;0,40;100,00;0,00;0,00;0,00%;0,00%
COI0830;2;2026-10-03;wykup przedterminowy;4,75%;nie;0,00;0,79;0,79;100,00;0,00;0,00;0,00%;0,00%
COI0830;3;2026-11-03;wykup przedterminowy;4,75%;nie;0,00;1,20;1,20;100,00;0,00;0,00;0,00%;0,00%
COI0830;4;2026-12-03;wykup przedterminowy;4,75%;nie;0,00;1,59;1,59;100,00;0,00;0,00;0,00%;0,00%
COI0830;5;2027-01-03;wykup przedterminowy;4,75%;nie;0,00;1,99;1,99;100,00;0,00;0,00;0,00%;0,00%
COI0830;6;2027-02-03;wykup przedterminowy;4,75%;nie;0,00;2,39;2,00;100,39;0,08;0,31;0,31%;0,62%
COI0830;7;2027-03-03;wykup przedterminowy;4,75%;nie;0,00;2,76;2,00;100,76;0,15;0,61;0,61%;1,05%
COI0830;8;2027-04-03;wykup przedterminowy;4,75%;nie;0,00;3,16;2,00;101,16;0,23;0,93;0,93%;1,40%
COI0830;9;2027-05-03;wykup przedterminowy;4,75%;nie;0,00;3,55;2,00;101,55;0,30;1,25;1,25%;1,67%
COI0830;10;2027-06-03;wykup przedterminowy;4,75%;nie;0,00;3,96;2,00;101,96;0,38;1,58;1,58%;1,90%
COI0830;11;2027-07-03;wykup przedterminowy;4,75%;nie;0,00;4,35;2,00;102,35;0,45;1,90;1,90%;2,08%
COI0830;12;2027-08-03;wykup przedterminowy;4,75%;nie;0,00;4,75;2,00;102,75;0,53;2,22;2,22%;2,22%
COI0830;13;2027-09-03;wykup przedterminowy;4,00%;tak;4,75;0,34;2,00;103,09;0,91;2,18;2,18%;2,01%
COI0830;14;2027-10-03;wykup przedterminowy;4,00%;tak;4,75;0,67;2,00;103,42;0,91;2,51;2,51%;2,16%
COI0830;15;2027-11-03;wykup przedterminowy;4,00%;tak;4,75;1,01;2,00;103,76;0,91;2,85;2,85%;2,29%
COI0830;16;2027-12-03;wykup przedterminowy;4,00%;tak;4,75;1,33;2,00;104,08;0,91;3,17;3,17%;2,39%
COI0830;17;2028-01-03;wykup przedterminowy;4,00%;tak;4,75;1,67;2,00;104,42;0,91;3,51;3,51%;2,49%
COI0830;18;2028-02-03;wykup przedterminowy;4,00%;tak;4,75;2,01;2,00;104,76;0,92;3,84;3,84%;2,57%
COI0830;19;2028-03-03;wykup przedterminowy;4,00%;tak;4,75;2,33;2,00;105,08;0,98;4,10;4,10%;2,61%
COI0830;20;2028-04-03;wykup przedterminowy;4,00%;tak;4,75;2,67;2,00;105,42;1,04;4,38;4,38%;2,64%
COI0830;21;2028-05-03;wykup przedterminowy;4,00%;tak;4,75;2,99;2,00;105,74;1,10;4,64;4,64%;2,67%
COI0830;22;2028-06-03;wykup przedterminowy;4,00%;tak;4,75;3,33;2,00;106,08;1,17;4,91;4,91%;2,69%
COI0830;23;2028-07-03;wykup przedterminowy;4,00%;tak;4,75;3,66;2,00;106,41;1,23;5,18;5,18%;2,72%
COI0830;24;2028-08-03;wykup przedterminowy;4,00%;tak;4,75;4,00;2,00;106,75;1,29;5,46;5,46%;2,74%
COI0830;25;2028-09-03;wykup przedterminowy;4,00%;tak;8,75;0,34;2,00;107,09;1,67;5,42;5,42%;2,61%
COI0830;26;2028-10-03;wykup przedterminowy;4,00%;tak;8,75;0,67;2,00;107,42;1,67;5,75;5,75%;2,67%
COI0830;27;2028-11-03;wykup przedterminowy;4,00%;tak;8,75;1,01;2,00;107,76;1,67;6,09;6,09%;2,72%
COI0830;28;2028-12-03;wykup przedterminowy;4,00%;tak;8,75;1,34;2,00;108,09;1,67;6,42;6,42%;2,77%
COI0830;29;2029-01-03;wykup przedterminowy;4,00%;tak;8,75;1,68;2,00;108,43;1,67;6,76;6,76%;2,81%
COI0830;30;2029-02-03;wykup przedterminowy;4,00%;tak;8,75;2,02;2,00;108,77;1,68;7,09;7,09%;2,85%
COI0830;31;2029-03-03;wykup przedterminowy;4,00%;tak;8,75;2,32;2,00;109,07;1,74;7,33;7,33%;2,86%
